Ticker,Sector,MarketCapitalization
CCEP.US,Consumer Defensive,31289081856.0
CCG.US,Communication Services,421863232.0
CCGWW.US,Communication Services,
CCLD.US,Healthcare,21111224.0
CCLDO.US,Healthcare,
CCLDP.US,Healthcare,
CCLP.US,Energy,283990016.0
CCNE.US,Financial Services,431719616.0
CCOI.US,Communication Services,3762509568.0
CCRN.US,Healthcare,704070528.0
CCSI.US,Technology,379049760.0
CCTG.US,Industrials,
CCTS.US,Financial Services,55874828.0
CCTSW.US,Financial Services,
CDAQ.US,Financial Services,111771072.0
CDAQW.US,Financial Services,
CDIO.US,Healthcare,39039072.0
CDIOW.US,Healthcare,
CDLX.US,Communication Services,248085920.0
CDMO.US,Healthcare,424967424.0
CDNA.US,Healthcare,476606912.0
CDNS.US,Technology,84867022848.0
CDRO.US,Consumer Cyclical,201575648.0
CDROW.US,Consumer Cyclical,
CDT.US,Healthcare,205246016.0
CDTTW.US,Healthcare,
CDTX.US,Healthcare,64850080.0
CDW.US,Technology,32851009536.0
CDXC.US,Healthcare,114940328.0
CDXS.US,Healthcare,209490592.0
CDZI.US,Utilities,182120480.0
CEAD.US,Industrials,4603531.0
CEADW.US,Industrials,
CECO.US,Industrials,705301248.0
CEG.US,Utilities,42212720640.0
CELC.US,Healthcare,378565504.0
CELH.US,Consumer Defensive,13596986368.0
CELU.US,Healthcare,92578488.0
CELUW.US,Healthcare,
CELZ.US,Healthcare,5934866.0
CENN.US,Consumer Cyclical,38056248.0
CENQW.US,Financial Services,
CENT.US,Consumer Defensive,2506979072.0
CENTA.US,Consumer Defensive,2411062016.0
CENX.US,Basic Materials,962857024.0
CERE.US,Healthcare,7792332800.0
CERS.US,Healthcare,427624896.0
CERT.US,Healthcare,2746137088.0
